key,time,all_swamps___total_rabbits
0-0,0,400
0-0,1,397.4883598646
0-0,2,501.5903198269
0-0,3,627.9099889693
0-0,4,735.5590484201
0-0,5,768.3644982346
0-0,6,691.9339772864
0-0,7,542.5711266211
0-0,8,393.8385924922
0-0,9,286.08468782
0-0,10,220.4748521542
0-0,11,185.720412122
0-0,12,172.443460477
0-0,13,175.7689285806
0-0,14,194.5892636553
0-0,15,230.7095086223
0-0,16,288.2215142324
0-0,17,372.4777519355
0-0,18,487.3615426094
0-0,19,629.1618254296
0-0,20,777.9976797297
0-0,21,900.2854801372
0-0,22,992.9695396253
0-0,23,1165.3303445356
0-0,24,1682.80115599
0-0,25,3010.3021741901
0-0,26,6023.7752895721
0-0,27,12366.0006567358
0-0,28,22982.8104959965
0-0,29,14380.7312624218
0-0,30,1053.7073571363
0-0,31,277.881333346
0-0,32,277.3847850597
0-0,33,346.4888975922
0-0,34,447.2339204673
0-0,35,570.853411074
0-0,36,693.5050642864
0-0,37,766.5122148449
0-0,38,738.5712652349
0-0,39,612.6511112566
0-0,40,455.7206065428
0-0,41,328.0442054526
0-0,42,245.0572467191
0-0,43,198.1785035636
0-0,44,176.4575441796
0-0,45,173.1358610257
0-0,46,185.7410445976
0-0,47,215.2409212038
0-0,48,265.568322639
0-0,49,343.3532246394
0-0,50,457.1496457061
0-0,51,615.1521337016
0-0,52,821.8159089673
0-0,53,1082.6559308848
0-0,54,1448.4241852016
0-0,55,2134.1789435148
0-0,56,3685.7986042438
0-0,57,7184.702985441
0-0,58,14478.0036004139
0-0,59,24757.3351841689
0-0,60,8808.4494769943
0-0,61,627.7916886419
0-0,62,214.8617433371
0-0,63,208.2822233883
0-0,64,246.1562043337
0-0,65,309.0961088522
0-0,66,398.6949678202
0-0,67,514.234181223
0-0,68,641.9715631991
0-0,69,744.2095744018
0-0,70,765.072943187
0-0,71,676.9047798507
0-0,72,524.0498964666
0-0,73,379.0679831445
0-0,74,276.7827122534
0-0,75,215.6603452033
0-0,76,184.34783412
0-0,77,174.2457118691
0-0,78,181.5273788352
0-0,79,206.6348897378
0-0,80,254.1592834435
0-0,81,333.7269441653
0-0,82,462.1371763838
0-0,83,667.4474667362
0-0,84,997.8697104793
0-0,85,1546.8615268748
0-0,86,2530.2372251748
0-0,87,4484.2746540087
0-0,88,8615.3088064744
0-0,89,16922.2343136775
0-0,90,25078.9368129872
0-0,91,4926.5141846274
0-0,92,434.6186368062
0-0,93,194.4577493778
0-0,94,177.5501302489
0-0,95,191.7286547707
0-0,96,224.5090868637
0-0,97,277.7357841262
0-0,98,355.5706188431
0-0,99,460.388682464
0-0,100,585.8094684078
0-1,101,400
0-1,102,341.7500833023
0-1,103,366.5851356649
0-1,104,396.4981795118
0-1,105,420.2707679545
0-1,106,432.1099035297
0-1,107,428.512785238
0-1,108,409.4369255126
0-1,109,378.6153046798
0-1,110,342.080014492
0-1,111,305.8188900806
0-1,112,274.1071750122
0-1,113,249.1538148028
0-1,114,231.6288055418
0-1,115,221.3913304017
0-1,116,218.0395415757
0-1,117,221.2037443977
0-1,118,230.6444122554
0-1,119,246.2150284082
0-1,120,267.7172989583
0-1,121,294.6564766539
0-1,122,325.8995468516
0-1,123,359.2862522069
0-1,124,391.3465713913
0-1,125,417.4193228107
0-1,126,432.5261177438
0-1,127,433.0774230524
0-1,128,418.7797239953
0-1,129,393.5136425497
0-1,130,364.4774962862
0-1,131,340.4301095048
0-1,132,330.821925326
0-1,133,347.0798826724
0-1,134,406.4942062065
0-1,135,539.3732947889
0-1,136,801.5171317316
0-1,137,1296.4387536289
0-1,138,2215.4220179854
0-1,139,3908.6518117584
0-1,140,7002.2723714292
0-1,141,12517.0109807826
0-1,142,21066.7420842182
0-1,143,19805.3978206614
0-1,144,2495.3869664994
0-1,145,544.3086830276
0-1,146,441.934339436
0-1,147,433.5290170432
0-1,148,418.4513805434
0-1,149,391.0399115016
0-1,150,355.7843865802
0-1,151,318.790092357
0-1,152,285.0378513591
0-1,153,257.4560020111
0-1,154,237.1902466333
0-1,155,224.3194082415
0-1,156,218.4880146536
0-1,157,219.2932789709
0-1,158,226.4444138502
0-1,159,239.7715234285
0-1,160,259.1161156251
0-1,161,284.1216078738
0-1,162,313.9255107342
0-1,163,346.7726692269
0-1,164,379.6618376898
0-1,165,408.2622765871
0-1,166,427.463366229
0-1,167,432.7663426407
0-1,168,422.1832136904
0-1,169,397.5222991309
0-1,170,363.9482190251
0-1,171,327.9716482636
0-1,172,295.3316525698
0-1,173,270.0692730377
0-1,174,254.9335012111
0-1,175,252.580067547
0-1,176,267.1872716755
0-1,177,306.6366690707
0-1,178,385.9542220537
0-1,179,533.3512197298
0-1,180,801.2554514496
0-1,181,1286.6153576941
0-1,182,2168.0578417986
0-1,183,3772.5038428939
0-1,184,6686.7571345288
0-1,185,11886.2509000975
0-1,186,20199.1752031418
0-1,187,21764.2998355429
0-1,188,3296.0216298118
0-1,189,576.6997224968
0-1,190,385.0048167355
0-1,191,334.3907593098
0-1,192,297.2472908707
